publication_number,title,abstract,publication_date,filing_date,ipc_codes,assignees
CN-117326731-A,Enrichment and separation method for flavor components in reconstituted tobacco production wastewater,"The invention belongs to the technical field of reconstituted tobacco production and processing, and particularly relates to an enrichment and separation method for flavor components in reconstituted tobacco production wastewater. The method comprises the steps of carrying out multistage purification treatment on concentrated wastewater in reconstituted tobacco and carrying out primary purification treatment on low-concentration wastewater, adopting a reverse osmosis membrane to concentrate two purifying solutions respectively to obtain high nicotine trapped fluid and high fragrance trapped fluid, compounding the high nicotine trapped fluid and the high fragrance trapped fluid, and carrying out freeze thawing and centrifugation to obtain enriched separating liquid of high tobacco fragrance components. The enriched components comprise most of tobacco fragrance components in the wastewater, and the enriched separation liquid has high stability and long storage time. The method can improve the recovery rate of the tobacco fragrance components, greatly reduce the discharge amount of wastewater, and has good process adaptability and popularization significance.",20240102,20230928,C02F1/44,HENAN CIGARETTE IND TOBACCO SLICE CO LTD
CN-205294916-U,No reverse flow is received and is strained device or reverse osmosis unit,"The utility model relates to a no reverse flow is received and is strained device or reverse osmosis unit, one kind in particular to shut down no reverse flow and receive the device of straining device or reverse osmosis. The utility model discloses an equalizing basin and link to each other with it strain membrane unit, straining and being equipped with a water inlet and two delivery ports on the membrane unit, the scene 2 mouth of a river is connected respectively and is produced water pitcher and dense water pitcher, it do not is equipped with the outlet to equally divide on dense water pitcher and the product water pitcher, be equipped with two outlet on producing the water pitcher, one of them outlet links to each other with the water inlet of straining membrane unit. The during operation is being shut down to the device, and the water inlet of straining membrane unit is introduced to the water that will produce in the water pitcher through the pipeline to replace the sustained input of equalizing basin normal water, effectively avoided high -pressure pump check work, lead to to dense water side reversed flow&#39;s phenomenon, having avoided corrugating and harm of filter membrane surface because of interior high osmotic pressure arouses the product water of membrane, guaranteed that the desalination performance of filter membrane and system stabilize, prolonged and received the life who strains device or reverse osmosis unit.",20160608,20160104,C02F1/44,SHAANXI RES DESIGN INST PETROLEUM CHEMICAL INDUSTRY
ES-2925061-T3,,,20221013,20111230,C02F1/44,KEMIRA OYJ
CN-206837867-U,A kind of novel ultrafiltration membrane,"The utility model discloses a kind of novel ultrafiltration membrane,Including milipore filter main body,The milipore filter main body includes ultrafiltration film layer,First filter layer,Second filter layer,Outer enhancement layer and interior enhancement layer,The outer enhancement layer and interior enhancement layer are separately positioned on inside and outside ultrafiltration film layer,First filter layer is arranged on outer enhancement layer outer surface,Second filter layer is arranged on interior enhancement layer outer surface,Outer enhancement layer and interior enhancement layer are linked together by dowel and ultrafiltration film layer,Interconnected between the dowel of ultrafiltration film layer both sides,Dowel is internally provided with intercommunicating pore,Outer enhancement layer and interior reinforcement layer surface are provided with permeable hole,Outer enhancement layer and interior reinforcement layer surface are provided with through hole,Outer enhancement layer and interior enhancement layer are internally provided with voided layer,It is hardly damaged inside the milipore filter,The impurity in filter water can be shifted to an earlier date,Prevent from blocking,Integrally stretching and bending ability are strong,Intensity is high,Service life is grown.",20180105,20170405,C02F1/44,DONGGUAN CITY DE YING METAL MAT CO LTD
CN-204588767-U,A kind of novel trans permeator,"The utility model discloses a kind of novel trans permeator, comprise high-pressure pump and RO reverse osmosis membrane, intake and enter RO reverse osmosis membrane through high-pressure pump and carry out water outlet after reverse osmosis, the dense water produced by RO reverse osmosis membrane is discharged through dense water pipe, dense water valve do not established by described dense water pipe, described feed-water end is provided with PLC, for controlling flooding velocity and pressure, the pipeline between described high-pressure pump and RO reverse osmosis membrane is provided with motor-operated control valve.The utility model fills PLC before high-pressure pump, allows former water just regulate flow and pressure before entering high-pressure pump, realizes full automatic control; On dense water pipe, do not establish dense penstock in addition, decrease manual operation, it also avoid breaking and the explosion of dense water pipe of the RO reverse osmosis membrane caused due to misoperation.",20150826,20150127,"B01D61/08,C02F1/44",JIANGSU YUANNENG ENVIRONMENTAL ENGINEERING CO LTD
CN-218290543-U,Device for simultaneously and stably preparing nano-bubble pure water and micro-bubble strong brine,"The utility model relates to a device for simultaneously and stably preparing nanometer bubble pure water and micron bubble strong brine belongs to water treatment technical field. The device comprises a booster pump, a reverse osmosis membrane component, a pure water tank and a strong brine tank, wherein the inlet of the booster pump is connected with a water inlet pipe, the outlet of the booster pump is connected with a water outlet pipe, the water inlet pipe or the water outlet pipe is connected with a gas pipe, the gas pipe is externally connected with a gas source, the water inlet pipe is provided with a front filter element and is externally connected with a water source, the water outlet port of the water outlet pipe is connected with the water inlet of the reverse osmosis membrane component, the strong brine outlet of the reverse osmosis membrane component is connected with the strong brine tank through a strong brine pipe, the strong brine pipe is provided with a strong brine regulating valve, and the pure water outlet of the reverse osmosis membrane component is connected with the pure water tank through a pure water pipe; the reverse osmosis membrane component is vertically arranged, the height of the water inlet of the reverse osmosis membrane component is lower than that of the strong brine outlet of the reverse osmosis membrane component, and the pure water pipe is not provided with a resistance piece and is directly communicated with the pure water tank. The device can stably obtain pure water containing nano bubbles and concentrated brine containing micro bubbles at one time.",20230113,20220923,C02F1/44,DALIAN SHUANGDI INNOVATION AND TECH RESEARCH INSTITUTE CO LTD
CN-210559530-U,Column type ultrafiltration membrane equipment,"The utility model relates to a column type milipore filter equipment, it belongs to sewage treatment technical field, which comprises a pipe body, the upper end and the lower extreme of the lateral wall of body are equipped with delivery port I and water inlet I respectively, the top and the bottom of body are equipped with water inlet II and delivery port II respectively, install the milipore filter in the body, the bottom that lies in the milipore filter in the body is equipped with the fibre membrane silk, lie in on the body inner wall be equipped with respectively between fibre membrane silk and the body bottom along the ascending boss I of body inner wall spiral and along the decurrent boss II of body inner wall spiral, be equipped with respectively on the lateral wall of body along I spray nozzle I of boss and along II spray nozzle II of boss, outside water jet equipment is connected to nozzle I and nozzle II.",20200519,20190614,C02F1/44,TAIAN XINHU ENVIRONMENTAL PROTECTION TECH CO LTD
CN-219689545-U,Ultra-clean pure water preparation system in anthraquinone process hydrogen peroxide production,"The utility model discloses an ultra-clean pure water preparation system in the production of hydrogen peroxide by an anthraquinone process, which is sequentially communicated with a precision filter, an ultrafiltration device, a reverse osmosis device, an ultraviolet sterilization device, a first microporous filter, a membrane degassing device, an EDI device, a TOC removal device, a polishing mixed bed and a second microporous filter; the first microporous filter is suitable for filtering particles and bacteria with the particle size of more than 0.1um in the water after ultraviolet sterilization; solid impurities, macromolecular solutes, bacterial particles, gas and residual salts in water are effectively eliminated, the ion content and the organic matter content in the water are reduced, impurities are prevented from entering an ultrapure water using point through a second microporous filter, ultra-clean pure water is prepared, and quality indexes of hydrogen peroxide are greatly guaranteed in the production of electronic grade, food grade and medical grade hydrogen peroxide by an anthraquinone process.",20230915,20230424,C02F1/44,GUANGXI TIANDONG DASHENG CHEMICAL TECH CO LTD
CN-118651934-A,Multifunctional water purifying equipment and flushing method thereof,"The invention discloses multifunctional water purifying equipment and a flushing method thereof, which belong to the field of water purifying equipment, and comprise a water inlet pipeline, wherein a low-pressure switch, a composite filter element, a water inlet valve, a booster pump and a reverse osmosis filter element are sequentially arranged on the water inlet pipeline, and the lower part of the reverse osmosis filter element is connected with a flushing liquid discharge pipeline; the water purifying pipeline of the reverse osmosis filter element is connected with a cold water pipeline and a hot water pipeline, and the cold water pipeline is sequentially provided with a one-way valve, a TDS monitor, a rear filter element and a cold water outlet valve; the hot water pipeline is sequentially provided with a water supplementing valve, a hot water tank and a hot water outlet valve; the device also comprises a pressure barrel, wherein one side of the pressure barrel is provided with a return pipeline; the other side of the pressure barrel is provided with a back flushing pipeline, and the water outlet end of the back flushing pipeline is connected with a water purifying pipeline. The invention uses the multiple flushing modes of forward flushing, back flushing and pure water flushing, when the purifying equipment is just started to be used or is used after being idle for a period of time, the TDS value of the water discharged from the first cup of the purifying equipment is far lower than 10 after flushing, and the direct drinking water standard is reached.",20240917,20240712,C02F1/44,HEFEI SHIHONG PURIFICATION TECH CO LTD
CN-206985757-U,A kind of simple portable Water cleaning funnel device,"The utility model discloses a kind of simple portable Water cleaning funnel device, including being covered on Water cleaning funnel, filter core box cover, filter core, sealing ring, filter core box lower cover and Water cleaning funnel lower cover, the top covered on Water cleaning funnel and the bottom of Water cleaning funnel lower cover are provided with opening, lid is connected through a screw thread the top for being installed on Water cleaning funnel lower cover on Water cleaning funnel, filter core box lower cover is threadedly connected to the inside covered on Water cleaning funnel, filter core box lower cover is internally provided with filter core, the bottom of filter core box lower cover outer ring is provided with sealing ring, filter core box cover is connected and installed in the top of filter core box lower cover by neck, and it is provided with some equally distributed filter openings on lid under filter core box cover and filter core box.The filter core contained by portable water purification funnel device that the utility model uses can efficiently remove the impurity contained in the natural water sources such as running water, rivers and lakes, stream, reservoir water and underground water；The device has the characteristics that light and handy portable, simple and quick simultaneously.",20180209,20170711,C02F1/44,SHENZHEN BEVIAN TECH CO LTD
WO-2019018387-A1,Recycling automotive phosphate rinse water stream,"The present disclosure relates to recycling automotive phosphate rinse water. An apparatus and method is disclosed for treating process water containing phosphate. The apparatus may include a process water line (10). The process water line (10) may be in fluid communication with a sample process water line (11). The sample process water line (11) may be in fluid communication with a dilution line (12). The sample process water line (11), the dilution line (12), and a phosphate analyzer (13) may be in fluid communication with a diluted process water line (14). The apparatus may also include a chemical additive feed line (15) in fluid communication with the process water line (10) downstream from the sample process water line (11).",20190124,20180717,C02F1/44,ECOLAB USA INC
JP-2021045708-A,Deionized water producing method and system,"To provide a deionized water producing method using an EDI device capable of suppressing boron from passing through a cation exchange membrane and migrating from a concentration chamber to a desalination chamber while an anion exchanger is arranged in the concentration chamber.SOLUTION: In a method for producing deionized water using an EDI device, at least one desalination treatment part is provided between a cathode and an anode opposite each other, the desalination treatment part has a desalination chamber filled with ion exchangers and a pair of concentration chambers provided on both sides of the desalination chamber, each of the pair of concentration chambers is filled with at least anion exchangers, and the desalination chamber is adjacent to the concentration chamber on the cathode side via a cation exchange membrane and adjacent to the concentration chamber on the anode side via an anion exchange membrane, and to-be-treated water is passed through the desalination chamber to obtain deionized water from the desalination chamber. In the method, feed water containing boron and having a total anion concentration other than boron of 10 μg-CaCO3/L or more is at least fed to a concentration chamber excluding the concentration chamber closest to the anode.SELECTED DRAWING: Figure 4",20210325,20190918,C02F1/44,ORGANO KK
US-2018243694-A1,Apparatus and method for reverse osmosis,"An apparatus for reverse osmosis, the apparatus comprising: a single-stage reverse osmosis (SSRO) unit; and a counter-current membrane cascade with recycle (CMCR) unit comprising a plurality of stages of reverse osmosis including at least a first stage and a second stage wherein permeate from the first stage is configured to be introduced as feed to the second stage; wherein retenate from the SSRO unit is configured to be introduced as feed to the first stage, and wherein product obtained using the apparatus comprises permeate from the SSRO unit and permeate from a last stage of the CMCR unit.",20180830,20150331,"B01D61/08,B01D61/02,C02F1/44",UNIV NANYANG TECH
EP-3268319-B1,Process and facility for the treatment of livestock waste,,20200311,20161101,C02F1/44,S G T SUSTAINABLE GREEN TECH LTD
ES-2986758-T3,,,20241112,20190813,"C02F1/44,B01D61/02",VEOLIA WATER SOLUTIONS & TECH
CN-118343885-A,Self-suction type vacuum membrane distillation sewage treatment device,"The invention discloses a self-priming vacuum membrane distillation sewage treatment device, which comprises: a waste liquid storage for storing waste liquid having a certain temperature; the membrane distillation structure comprises a vacuum flow channel, a feeding flow channel communicated with the waste liquid reservoir through a one-way valve and a membrane assembly arranged between the vacuum flow channel and the feeding flow channel; the condensed water collecting container is communicated with the vacuum flow channel and is used for collecting condensed water in the vacuum flow channel; the refrigeration equipment is used for providing a low-temperature environment with the temperature lower than the temperature of the waste liquid for the vacuum flow channel; and the vacuumizing structure is connected with the vacuum flow channel and used for preparing the negative pressure environment of the vacuum flow channel. The self-priming vacuum membrane distillation sewage treatment device is simple in structure, can rapidly complete the conversion from wastewater to pure water without additional energy consumption, can be used as a small portable sewage treatment device meeting the pure water preparation requirement under the field condition of severe environment, and can be correspondingly regulated in size to be popularized and applied in the environment-friendly green energy industry.",20240716,20240517,C02F1/44,UNIV WUHAN
US-2018236409-A1,Permselective membrane and method for producing the same,"To provide a permselective membrane that includes a coating layer constituted by a phospholipid bilayer, the coating layer being capable of withstanding the pressure applied during a water treatment and being resistant to detachment and a method for producing the permselective membrane. A permselective membrane comprising a membrane main body having permselectivity and a coating layer disposed on a surface of the membrane main body, the coating layer including a phospholipid bilayer including a channel substance, wherein the phospholipid bilayer includes phospholipids that are a first phospholipid including an acyl group constituted by a fatty acid including an unsaturated fatty acid and a second phospholipid including two acyl groups each constituted by a fatty acid that is a saturated fatty acid having 16 to 24 carbon atoms.",20180823,20160217,C02F1/44,"UNIV KOBE NAT UNIV CORP,KURITA WATER IND LTD"
EP-2230511-B1,Method for varying the diameter of a nanopore contained in a nanoporous membrane functionalised with a ph-dependent polyelectrolyte,,20170426,20090320,B01D61/02,"CENTRE NAT DE LA RECH SCIENT (C N R S ),COMMISSARIAT L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,ECOLE POLYTECH"
CN-114849476-A,"Pervaporation membrane and preparation method, assembly and application thereof","The invention discloses a pervaporation membrane and a preparation method, a component and application thereof. The preparation method of the pervaporation membrane comprises the following steps: (1) reacting the raw material mixture to obtain a membrane building liquid; the raw material mixture comprises a polymer and a cross-linking agentCatalysts, solvents, photocatalysts; the mass ratio of the polymer to the photocatalyst is 10 (0.05-0.6); the photocatalyst comprises TiO  2  And/or modified TiO  2  (ii) a (2) And preparing the membrane building liquid into a liquid membrane, and curing to obtain the pervaporation membrane. The invention combines photocatalysis and permeable membrane technology and carries TiO  2  After each batch of wastewater treatment is finished, the ultraviolet lamp is turned on to carry out photocatalytic reaction, and organic pollutants adsorbed on the surface of the membrane are removed, so that the membrane pollution is slowed down, and the service life of the membrane is prolonged. The permeation flux retention rate of 8 runs can be more than 81%, and the permeation flux retention rate of 16 runs can be more than 71%.",20220805,20220530,C02F1/44,SHANGHAI ELECTRIC GROUP CO LTD
KR-20190029476-A,Physico-chemical livestock manure treatment system and its method,"The present invention relates to a physicochemical livestock excretion treatment system and a physicochemical livestock excretion treatment method which can treat livestock excretions into near pure water through physical and chemical treatment. The physicochemical livestock excretion treatment system comprises: an excretion storage tank storing livestock excretions therein; a solid-liquid separation device receiving the excretions from the excretion storage tank, and dividing the excretions into solid excretion and liquid excretion; a solid excretion treatment module receiving the solid excretion divided in the solid-liquid separation device for anaerobic treatment; a liquid excretion treatment module receiving the liquid excretion divided in the solid-liquid separation device in order to treat micro-materials and dissolved materials therein; a treatment water tank storing wastewater discharged by being treated with the liquid excretion treatment module; and a control panel controlling operation of the solid-liquid separation device, and controlling operation of an excretion movement regulation valve which is placed in a line connecting each of the components with one another in order to regulate the movement amount of excretions.",20190320,20180911,C02F1/44,SOC TECHNO HOLDINGS INC
EP-3762391-A4,Spirocentric compounds and polymers thereof,,20220803,20190307,B01D61/02,"GEORGIA TECH RES INST,EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY"
WO-2024047369-A1,Polymer-coated inorganic particles,"The invention discloses the synthesis and formation of novel polymer-coated inorganic particles. More specifically it discloses nanoparticles comprising a core of SiO2 coated by a natural or synthetic polymer. Preferably the natural polymers are from the family of polysaccharides and more specifically one of the following polysaccharites alginic acid, Xylane, Pectin, poly(galacturonic acid) or a combination thereof. Preferably the synthetic polymers is poly(acrylic acid) of different molecular weight and more preferably with molecular weight Mn = 5,100, and 100,000 g/mol.",20240307,20220829,C02F1/44,HYLICON IKE
CN-117185582-A,Water purifying cup with circulating filtration,"The utility model provides a circulation filters water purification cup, relates to water purification unit technical field, and this water purification cup includes cup, bowl cover, is equipped with filter core, water pump, first core shell, second core shell in the cup, is equipped with the battery for the water pump power supply on the bowl cover, and the switch of control water pump operation, first core shell, second core shell are the body, and the upper end mouth of pipe of first core shell is docked with the water inlet of water pump, and the lower extreme mouth of pipe of first core shell stretches to the bottom of cup inner chamber downwards, and the upper end mouth of pipe of second core shell is docked with the delivery port of water pump; the filter element consists of a primary filter element and a secondary filter element, wherein the primary filter element is arranged in a first core shell, the secondary filter element is arranged in a second core shell, the primary filter element comprises one or a combination of a plurality of active carbon, PP cotton, ion softening resin and ceramic membrane, and the secondary filter element comprises a high polymer fiber ultrafiltration membrane or a reverse osmosis membrane.",20231208,20231025,C02F1/44,ZHANG LIHUA
CN-110813104-A,Super-hydrophilic alkyne-carbon composite nanofiltration membrane and preparation method thereof,"A super-hydrophilic alkyne-carbon composite nanofiltration membrane and a preparation method thereof belong to the technical field of membrane separation. Comprises a porous membrane substrate and a selective separation layer; the selective separation layer is formed by blending and depositing a novel alkyne carbon material, an organic matter containing a dopamine structure and polyethyleneimine, the novel alkyne carbon material is provided with a super-hydrophilic material surface and an inherent pore channel of 2-5nm, the organic matter containing the dopamine structure can perform a self-polymerization reaction, the adhesion and the hydrophilicity of the material are enhanced by coating the material on the alkyne carbon material surface, the polyethyleneimine and the dopamine polymer organic matter adhered on the alkyne carbon material surface can perform a Michael addition/Schiff base reaction to generate a coating on the substrate surface, and then the surface of the composite membrane is crosslinked by adopting a crosslinking agent under a high-temperature condition, so that the super-hydrophilic alkyne carbon composite nanofiltration membrane is obtained. The composite membrane prepared by the invention has high retention rate and permeation flux for various dyes and natural organic matters in water, and has a super-hydrophilic composite membrane surface.",20200221,20191031,C02F1/44,UNIV BEIJING CHEM TECH
JP-2015047521-A,Water purifier,"PROBLEM TO BE SOLVED: To suppress the waste of parts and lighten the economical load of a user by enabling display contents applied on an outer surface of a water purifier to be altered without replacing a whole case.SOLUTION: A stationary water purifier 1 introduces raw water fed through a flow route exchanger 3 connected to a faucet 2 into a water purifier main body 5 and purifies it to discharge it from a purification nozzle 7. The water purifier main body 5 includes a cartridge having a filter material which purifies raw water, U-shaped upper and lower frames, and a replaceable cover part 14 on an outer peripheral surface disposed between both frames of which a drawing pattern P is drawn.",20150316,20130830,C02F1/44,TORAY INDUSTRIES
JP-2024053779-A,Cmp ceria slurry regeneration method,"To provide a ceria regeneration method capable of regenerating ceria from CMP process waste liquid containing multiple types of abrasives in a simple process.SOLUTION: A ceria regeneration method includes a storage step 2 of storing a used slurry 1 discharged from a CMP process, and a concentration step 3 of concentrating CMP process waste liquid PW using a cross-flow filtration device. The CMP process waste liquid PW contains ceria and silica, and in the ceria regeneration method, the concentration step 3 includes a pH adjustment step 32 of adding an alkaline substance to dissolve silica such that the CMP process waste liquid PW has a pH of 13 or higher, and the dissolved silica component is removed. The filtration device is a cross-flow filtration device using a ceramic filter. In the ceria regeneration method, the CMP process waste liquid PW whose pH has been adjusted to pH 13 or higher in the pH adjustment step 32 is further concentrated to filter out alkaline water in which silica is dissolved.SELECTED DRAWING: Figure 2",20240416,20221004,C02F1/44,MFC TECH CO LTD
