publication_number,title,abstract,publication_date,ipc_codes,assignees
US-12134745-B2,"Oil compound for silicone-based defoaming agents, method for producing same, and defoaming agent containing oil compound for silicone-based defoaming agents","Provided is a silicone based anti-foaming agent oil compound that has not only superior anti-foaming speed but also anti-foaming performance that does not degrade with repeated use or use over a long period. The silicone based anti-foaming agent oil compound comprises: (A) an essentially hydrophobic organopolysiloxane with a viscosity at 25° C. of 2,500 to 50,000 mPa·s: 20 to 80 parts by mass; (B) a hydrophobic organopolysiloxane or cyclic organopolysiloxane having silanol groups at least at both terminals: 20 to 80 parts by mass; (C) a silane or silane condensation product: 1 to 10 parts by mass; and (D) a fine powder silica with a specific surface area of 50 m 2 /g or more: 2 to 10 parts by mass; where the total amount of (A) and (B) combined is 100 parts by mass. Also provided is a method for manufacturing the silicone based anti-foaming agent oil compound.",20241105,B01D19/04,DOW TORAY CO LTD
CN-106823765-A,A kind of air filting material containing porous granule,"The present invention discloses a kind of air filting material containing porous granule, and the filtering material is made up of upper and lower two-layer nonwoven layer and its middle clamping porous granule layer, at least containing more than 5 weight % containing-R-CONHNH in the porous granule layer 2 The porous granule of structure, and the pore volume of porous granule layer is 0.4~1.5cm 3 /g.Air filting material containing porous granule of the invention have removal formaldehyde efficiency high, be difficult it is secondary it is smelly, the characteristics of service life is longer, can be applied to the filtration arts such as automobile, home-use clarifier, toilet.",20170613,"B01D53/02,B01D53/81,B01D53/72,B01D46/30",TORAY SAKAI WEAVING & DYEING (NANTONG) CO LTD
CN-105983275-A,"High-efficiency filtering material, and production method and application thereof","The invention discloses a high-efficiency filtering material, and a production method and application thereof. The high-efficiency filtering material is composed of four layers, i.e., a tiny filtering surface layer, a filter layer, a middle reinforced fabric layer and a non-filter layer, wherein the tiny filtering surface layer is a tiny fiber assembly which is composed of polyphenylene sulfide fibers with an average diameter of 600 to 2, 000 nm, and in monofilaments composing the tiny fiber assembly, difference between diameters of monofilaments with fineness ratios of 50% or above is less than 100 nm. The high-efficiency filtering material provided by the invention has the characteristics of a higher trapping rate and low pressure loss and is applied to the field of high temperature filtering, e.g., a garbage incinerator, a coal fired boiler, a metal melting furnace, etc.",20161005,B01D39/16,TORAY FIBER RES INST (CHINA) CO LTD
US-10174170-B2,Method for producing liquid high-purity polyhydric alcohol derivative-modified silicone or composition thereof,"A production method of a liquid high-purity polyhydric alcohol derivative-modified silicone or a composition thereof is disclosed. The method comprises: a capturing step 1) of bringing into an impurity-containing composition containing a liquid polyhydric alcohol derivative-modified silicone and hydrophilic impurities originating from a polyhydric alcohol derivative, the polyhydric alcohol derivative being a hydrophilic modifier of the polyhydric alcohol derivative-modified silicone, into contact with solid particles capable of capturing the hydrophilic impurities, and then capturing the hydrophilic impurities with the solid particles; and a separating step 2) of separating the polyhydric alcohol derivative-modified silicone and the solid particles. The method is useful for production of the liquid high-purity polyhydric alcohol derivative-modified silicone and the composition thereof on a commercial scale.",20190108,"B01D29/01,B01D15/00",DOW CORNING TORAY CO LTD
CN-108136056-A,Radiation treatment system and method,"A kind of radiation processing unit with elongated shape and center longitudinal axis, including：(a) the first tube assembly, including：First coil pipe, for passing through pending fluid and there is the first coil inner cylindrical surface for limiting the first cylindrical cavity；It is arranged on the first radiation source of the first cylindrical empty intracavitary；And the first support component and (b) second tube assembly of at least described first coil pipe of support, including：Second coil pipe for passing through pending fluid and having the second coil inner cylindrical surface for limiting the second cylindrical cavity, is arranged on the second radiation source of the second cylindrical empty intracavitary；And the second support component of at least described second coil pipe of support；Second tube assembly is configured to coaxially be inserted into the first cylindrical empty intracavitary, so that the second coil pipe is arranged between first radiation source and second radiation source so that is exposed to the internal radiation of the first radiation source by the fluid of first coil pipe and is exposed to the external radiation from the first radiation source and the internal radiation from the second radiation source by the fluid of the second coil pipe.",20180608,"C02F1/30,C02F1/32",ASEPTORAY LTD
CN-105582742-A,Filter material,"The invention discloses a filter material, which includes a filter layer, a non-filter layer, and a middle fabric reinforced layer. The filter layer is a fiber net formed by 0.0025-0.25dtex fine denier polyphenylene sulfide fiber and 0.5-5dtex coarse denier heat-proof fiber, and the denier ratio of the coarse denier heat-proof fiber and the fine denier polyphenylene sulfide fiber is more than 4 times. Compared with the previous filter materials, the filter material provided by the invention can have more excellent filter effect while maintaining its pressure loss, and has a trapping effect exceeding 99.99%. When the filter material provided by the invention is sewed into a bag, the bag is suitable to serve as a bag filter for dust collection of the exhaust from coal boilers, garbage incinerators and the like.",20160518,B01D39/14,TORAY FIBERS & TEXTILES RES LABORATORIES (CHINA) CO LTD
US-2017218129-A1,Method for producing liquid high-purity sugar derivative-modified silicone or composition thereof,"A production method for a liquid high purity sugar derivative-modified silicone or a composition thereof is disclosed. The method comprises the steps of: 1) capturing hydrophilic impurities in solid particles by causing an impurity containing composition containing liquid sugar derivative-modified silicone and the hydrophilic impurities derived from a sugar derivative to contact the solid particles, the sugar derivative being a hydrophilic modifier of the sugar derivative-modified silicone, and the solid particles being able to capture the hydrophilic impurities; and 2) separating the sugar derivative-modified silicone and the solid particles. The method is useful for production of the liquid high purity sugar derivative-modified silicone and the composition thereof on a commercial scale.",20170803,"B01D29/01,B01D15/00",DOW CORNING TORAY CO LTD
EP-4056248-A4,Water-soluble silicone anti-foaming agent composition and aqueous coating material containing same,,20240124,B01D19/04,DOW TORAY CO LTD
CN-220720543-U,Deodorizing filter material for vehicle,"The utility model discloses a deodorizing filter material for a vehicle, which sequentially comprises a supporting layer, a deodorizing layer and a melt-blown layer from top to bottom, wherein the deodorizing layer is single-layer electrostatic cotton attached with deodorizing particles or double-layer electrostatic cotton for clamping the deodorizing particles. The deodorizing filter material for the vehicle has the characteristics of low resistance, high filtering efficiency, high dust holding capacity and low TVOC.",20240405,"B01D53/04,B01D46/12,B01D39/14",TORAY FIBERS NANTONG CO LTD
CN-111741802-A,Filtering material,"A filter material comprising a nonwoven fabric, which has a flexural strength of 2.0MPa or more at a strain of 10 mm.",20201002,B01D39/14,TORAY FIBERS&TEXTILES RES LABORATORIES CHINA CO LTD
CN-105923800-A,Filter cartridge for purifying water,"The invention provides a filter cartridge for purifying water with large and compact accommodation space of a filter and high filter capacity. The filter cartridge for purifying water is disposed in the shell including a raw water inlet and a purified water outlet, and includes a hollow filament membrane bundle and a powder filter. The powder filter is saved in the inner space of a cylinder vessel formed by an inner wall, an outer wall, an upper wall, and a lower wall. The cylinder vessel includes a tabling part A, one end of the hollow filament membrane bundle is fixed on a sealing cover with a sealing agent, and a part of the part except the end of the hollow filament membrane bundle forms a projection part protruding from the sealing cover. The projection part is accommodated inside of the inner wall, and the sealing cover includes a tabling part B. The tabling part A and the tabling part B tables in a watertight manner, so that the water can go through from the surface of the outer wall on the side of the shell to the surface of the inner wall on the side of the hollow filament membrane bundle on the radial direction of the filter cartridge for purifying water.",20160907,C02F9/02,TORAY CO LTD
CN-106552458-A,A kind of conducting filtration material and its production method and purposes,"The present invention discloses a kind of conducting filtration material and its production method and purposes, the conducting filtration material includes spun-bonded non-woven fabrics fid layer, conductive black layer, polytetrafluoroethylporous porous membrane layer, contain conductive black layer at least one side of the spun-bonded non-woven fabrics fid layer, and air flows into surface layer for polytetrafluoroethylporous porous membrane layer, the particle diameter of the conductive black is 2～15 μm.The characteristics of conducting filtration material of the present invention has arresting efficiency height, breathability height, excellent in abrasion resistance, high laminating fastness, can be applicable to anti-static conductive filtering material field., the such as filtration art such as painting dressing automobiles, building materials application, Hardware fitting powder body coating line.",20170405,B01D39/14,TORAY FIBERS & TEXTILES RES LABORATORIES (CHINA) CO LTD (TFRC)
CN-105597548-A,Semi-permeable membrane element washing apparatus,"The present invention relates to a semi-permeable membrane element washing apparatus, which comprises a washing water tank T1, a membrane element standing tank T2, a washing liquid adding system and a washing liquid reflux system, wherein the membrane element standing tank T2 contains a washing liquid. According to the present invention, when the seriously-polluted RO membrane element or NF membrane element EL is subjected to reverse washing by using the semi-permeable membrane element washing apparatus, the reverse washing condition is controlled, and the damage rate of the membrane element during the washing process is reduced; the washing liquid enters from the membrane element water production pipe, and the seriously-polluted scaled substance can be loosened through the reverse washing so as to obtain the good washing effect; and the membrane element in the washing apparatus is directly connected to the washing pipeline and no membrane housing exists, such that the structure is simple, and the assembly and the disassembly are easy.",20160525,B01D65/02,TORAY ADVANCED MAT RES LABORATORIES (CHINA) CO LTD
CN-207342392-U,A kind of new air filter,"The utility model discloses a kind of new air filter, which includes frame, lid material, pleating filter material and deodorant particle, the deodorant distribution of particles in pleating filter material intermountain away from interior, the content of the deodorant particle is 25~165g/m 2 .The air cleaner of the utility model has the advantages that to occupy little space, good deodorization effect, service life are long.",20180511,"B01D46/52,B01D46/00,B01D53/02",TORAY FIBER RES INSTITUTE CHINA CO LTD
JP-2022162272-A,Purified water producing apparatus,"To provide a purified water producing apparatus in which serial two stage-type membrane modules are arranged, and cleaning/disinfection effect of the membrane module on the second stage is not inferior as compared to the membrane module on the first stage, and which is capable of efficient and excellent cleaning.SOLUTION: A purified water producing apparatus comprises: pretreatment means 11; first membrane separation means to separate pretreatment water into first permeable water and first concentrated water; second membrane separation means to separate the first permeable water into second permeable water and second concentrated water; a permeable water tank 10 to retain the second permeable water; an openable/closable first return line 16 to return the second permeable water to an upstream of the first membrane separation means; an openable/closable second return line 17 to return the second permeable water to an upstream of the second membrane separation means; and an openable/closable bypass line 13 to, while bypassing the second membrane separation means, supply the first permeable water to the permeable water tank. Purified water is produced in a state that the return line and the bypass line are closed, and the first membrane separation means and the second membrane separation means are cleaned in a state that the bypass line is opened.SELECTED DRAWING: Figure 1",20221024,"B01D65/06,B01D65/02,B01D61/58,C02F1/44",TORAY MEDICAL CO LTD
US-9911956-B2,Polyolefin microporous film and method of producing same,"A polyolefin microporous membrane includes a polyethylene composition, and 0.5% or more but less than 5% by mass of polypropylene, wherein the polyethylene composition includes polyethylene having a mass average molecular weight of 2.5×10 5  to 5×10 5  and ultrahigh molecular weight polyethylene having a mass average molecular weight of 1×10 6  to 3×10 6  in an amount of more than 5% by mass and not more than 50% by mass based on 100% by mass of polyethylene composition and has a molecular weight distribution (Mw/Mn) of 5.0 to 300, and the polyolefin microporous membrane has an injection of electrolyte of 20 seconds or less and a uniform polypropylene distribution in at least one plane perpendicular to the thickness direction.",20180306,B01D71/02,"TORAY BATTERY SEPARATOR FILM,TORAY INDUSTRIES"
WO-2022145345-A1,"Oil compound for silicone-based defoaming agents, method for producing same, and defoaming agent containing oil compound for silicone-based defoaming agents","The present invention provides an oil compound for silicone-based defoaming agents, said oil compound being used for the purpose of obtaining an defoaming agent that has an excellent defoaming speed and is not decreased in the defoaming performance even if used repeatedly or for a long period of time, and said oil compound containing (A) from 20 parts by mass to 80 parts by mass of an inherently hydrophobic organopolysiloxane that has a viscosity of from 2,500 mPa·s to 50,000 mPa·s at 25°C, (B) from 20 parts by mass to 80 parts by mass of a hydrophobic organopolysiloxane that has silanol groups at least at both ends, or a cyclic organopolysiloxane, (C) from 1 part by mass to 10 parts by mass of silane or a condensation product of silane, and (D) from 2 parts by mass to 10 parts by mass of an ultrafine silica powder having a specific surface area of 50 m2/g or more, with the total of the components (A) and (B) being 100 parts by mass. The present invention also provides a method for producing this oil compound for silicone-based defoaming agents.",20220707,B01D19/04,DOW TORAY CO LTD
BR-112014004904-B1,,,20201020,"C02F103/28,C02F1/54,C02F11/14,C02F103/00,C02F1/56","DOW TORAY CO LTD,DOW CORNING TORAY CO LTD"
CN-105983274-A,Base cloth for filtering material and production method of base cloth,"The invention discloses a base cloth for a filtering material and a production method of the base cloth. The gram weight of the base cloth ranges from 60 g/m&lt;2&gt; to 95 g/m&lt;2&gt;, the warp tensile strength of the base cloth ranges from 1,000 N/5 cm to 1,400 N/5 cm, the weft tensile strength of the base cloth ranges from 250 N/5 cm to 500 N/5 cm, the specific value of the warp tensile strength to the gram weight of the base cloth is below 18.0 N.m&lt;2&gt;/5 cm.g, and the specific value of the weft tensile strength to the gram weight of the base cloth is below 6.3 N.m&lt;2&gt;/5 cm.g. According to the base cloth for the filtering material and the production method of the base cloth, by means of a special processing technology, the gram weight of the base cloth is reduced on the condition that the strength needed by the filtering material made of the base cloth is guaranteed, and therefore the making cost of the filtering material is reduced; meanwhile, the air permeability resistance of the filtering material is reduced, and the service life of the filtering material is prolonged.",20161005,B01D39/08,TORAY FIBER RES INST (CHINA) CO LTD
US-2017341035-A1,"Polyolefin microporous membrane, method for producing same, and battery separator","A polyolefin microporous membrane is disclosed. The polyolefin microporous membrane includes a polyolefin resin, where the polyolefin resin contains at least 80 mass % polypropylene resin, and where the polyolefin microporous membrane has a maximum pore size of less than 30.0 nm and a mean flow pore size of less than 20.0 nm.",20171130,B01D71/26,"TORAY BATTERY SEPARATOR FILM,TORAY INDUSTRIES"
TW-202334373-A,Thermal conductive silicone composition,"A thermally conductive silicone composition with good workability in a pin transfer process, and with which the cured product obtained has high adhesive strength and high heat dissipation. The composition includes (A) a straight-chain organopolysiloxane having at least two silicon atom-bonded alkenyl groups per molecule; (B) an organopolysiloxane resin; (C) organohydrogenpolysiloxane; (D) a heat dissipating filler powder mixture of a first collection of heat dissipating filler powder having an average particle size of no less than 0.2 [mu]m but less than 1 [mu]m and a second collection of heat dissipating filler powder having an average particle size of no less than 2 [mu]m but less than 20 [mu]m (at a mass ratio 3:7 to 2:8); (E) silica particles having an average primary particle size of less than 1 [mu]m; and (F) a straight-chain organopolysiloxane having a silicon atom-bonded alkoxy group at one or both ends of the molecular chain.",20230901,B01D1/28,DUPONT TORAY SPECIALTY MATERIALS KK
CA-2845475-C,Use of an organopolysiloxane polyalkylene oxide copolymer to improve the drainage of a solid material from an aqueous medium,"In a process for separating a solid material from a suspension of the solid material in water, an organopolysiloxane polyalkylene oxide copolymer comprising a branched organopolysiloxane structure is added to the suspension of solid material in water and the suspension is drained. The organopolysiloxane polyalkylene oxide copolymer comprising a branched organopolysiloxane structure increases the rate of drainage of the suspension.",20210727,"C02F1/56,C02F1/54",DOW CORNING TORAY CO LTD
CN-116651215-A,Repairing method and repairing solution for ultrafiltration membrane component,"The present disclosure provides a repair method and repair solution for ultrafiltration membrane modules. The ultrafiltration membrane component comprises a plurality of ultrafiltration membrane wires, and the repairing method comprises the following steps: providing a repair solution, wherein the repair solution comprises water and solid particles, the solubility of the solid particles in the water is less than or equal to 0.1g/100g, and the diameter of the solid particles is less than or equal to the inner diameter of the ultrafiltration membrane filaments; and when the ultrafiltration membrane wires of the ultrafiltration membrane component are broken, adding the repairing solution into the ultrafiltration membrane component, and applying pressure to the ultrafiltration membrane component, so that the repairing solution enters the ultrafiltration membrane wire breaking channel to repair the ultrafiltration membrane component. The repairing method disclosed by the application is simple to operate, easy to implement and high in repairing work efficiency, and can effectively improve the repairing proportion of the ultrafiltration membrane filaments.",20230829,"C02F1/44,C02F103/02,B01D63/02,B01D61/20,B01D65/00,B01D61/14",TORAY BLUE STAR MEMBRANE TECH BEIJING CO LTD
CN-104556259-A,Water purifier,"The invention relates to a water purifier (1). The water purifier (1) comprises a water purifier body (11), a water purifier shell (12) and at least one filter core (15), wherein the water purifier shell (12) is used for accommodating the water purifier body (11); an accommodating space (14) which is used for enabling a waterway (W) and a circuit (E) to pass through is formed between the water purifier body (11) and the water purifier shell (12). The water purifier (1) is characterized in that a partition board (17) is arranged in the accommodating space (14), and the waterway (W) and the circuit (E) are partitioned by using the partition board (17). The water purifier (1) disclosed by the invention has the advantage that the safety can be improved.",20150429,"C02F1/00,C02F1/44,B01D61/08",NITTO DENKO CHINA INVEST CO LTD
CN-113023969-A,Water purifying device,"The invention belongs to the technical field of water treatment, and particularly relates to a water purifying device. The invention provides a water purifier, which takes the permeated water treated by an RO membrane as the inlet water of the water purifier. The water purifying device is provided with an active carbon filter element and an ultraviolet sterilizing device, and a flow path adjusting plate is arranged between the ultraviolet sterilizing device and the active carbon filter element. The active carbon filter element and the ultraviolet sterilization device are placed together, so that the volume of the water purification device is effectively reduced, the phenomenon of short flow can be prevented after the flow path adjusting plate is arranged, and the sterilization effect of the water purification device is improved.",20210625,C02F9/08,TORAY ADVANCED MATERIALS RES LABORATORIES CHINA CO LTD
CN-115722088-A,Composite semipermeable membrane and manufacturing method thereof,"The invention belongs to the field of composite semipermeable membranes, and the composite semipermeable membrane comprises a substrate, a porous supporting layer and a separation functional layer, wherein the separation functional layer is provided with a polyamide layer with a hollow fold-shaped structure from the side of the supporting layer and a macromolecule with an acid group. The semipermeable membrane with high organic matter removal and high water permeability is obtained through the hollow pleated structure, the charge parameter of the membrane surface is changed by introducing the polymer with acidic groups, the risk of unstable desalination rate caused by electronegative organic matter adsorption and adsorption is reduced, the operation stability is improved, meanwhile, the increase of the negative charge density of the membrane surface is beneficial to the permeation of divalent cations through the membrane, so that the concentration degree of divalent cations such as hardness components on the membrane surface is reduced, the risk of membrane surface scaling and the difficulty of concentrated water treatment are reduced, the hardness components such as calcium, magnesium and the like enter produced water after permeating the membrane, and the retention of beneficial mineral substances in the produced water is beneficial to the body health.",20230303,"B01D67/00,B01D69/12,B01D71/72",TORAY ADVANCED MATERIALS RES LABORATORIES CHINA CO LTD
US-2022411633-A1,Water-soluble silicone anti-foaming agent composition and aqueous coating material containing same,"A water-soluble silicone defoaming agent composition is provided. The composition can be uniformly solubilized with regard to an aqueous phase, is free of volatile organic compounds (VOC) as defined by the WHO, and has excellent defoaming properties and storage stability. A water-based paint additive and water-based paint using the same are also provided. The water-soluble silicone defoaming agent composition comprises: (A) polyether-modified silicone, polyglycerin-modified silicone, or a mixture thereof, in which the average value of HLB is within a range of 0.5 to 5.0; (B) one or more types selected from triethylene glycol mono-n-butyl ether and triethylene glycol butyl methyl ether; and (C) water.",20221229,B01D19/04,DOW TORAY CO LTD
CN-107879421-A,A kind of operation method of purifier and purifier,"The invention belongs to water purifier field, including one or more semi-transparent membrane component raw water feeding pipes 2, semi-transparent membrane component 1, production water supplying pipe road 4 and concentrated water feeding pipe 3, the purifier also to include pressure and/or flow control system.The control of loine pressure and/or flow can be carried out according to the water demand at water nozzle, the reduction energy consumption of high degree, film can be cleaned according to fouling membrane degree simultaneously, suppress the pollution of semipermeable membrane, make purifier stable in the case where ensureing high-recovery, and film service life is not reduced, while ensure film producing water water quality safety.",20180406,"C02F103/04,C02F9/02,C02F9/04,C02F1/44,C02F103/08,C02F103/06",TORAY ADVANCED MATERIALS RES LABORATORIES CHINA CO LTD
EP-4056248-A1,Water-soluble silicone anti-foaming agent composition and aqueous coating material containing same,"[Problem]To provide: a water-soluble silicone defoaming agent composition that can be uniformly solubilized with regard to an aqueous phase, is free of volatile organic compounds (VOC) as defined by the WHO, and has excellent defoaming properties and storage stability; and a water-based paint additive and water-based paint using the same.[Resolution Means]A water-soluble silicone defoaming agent composition, containing: (A) polyether-modified silicone, polyglycerin-modified silicone, or a mixture thereof, in which the average value of HLB is within a range of 0.5 to 5.0; (B) one or more types selected from triethylene glycol mono-n-butyl ether and triethylene glycol butyl methyl ether; and (C) water.",20220914,B01D19/04,DOW TORAY CO LTD
BR-112014004904-A2,,,20170613,"C02F1/54,C02F103/00,C02F103/28,C02F11/14,C02F1/56",DOW CORNING TORAY CO LTD
BR-112014004904-A8,,,20170620,"C02F103/28,C02F1/54,C02F11/14,C02F1/56,C02F103/00",DOW CORNING TORAY CO LTD
CN-105080221-A,"Heatproof filtering material, and production method and application thereof","The invention discloses a heatproof filtering material, and a production method and application thereof. The filtering material is composed of a filtering layer, an intermediate reinforced fabric layer and a non-filtering layer, wherein the filtering layer at least contains a flat fiber mesh layer with gram weight of 50 to 199 g/m2, wherein the flat fiber mesh layer contains more than 90 wt% of flat fibers. The heatproof filtering material provided by the invention has the characteristics of higher trapping rate and low pressure loss and is applied to the field of high temperature filtering, e.g., a garbage incinerator, a coal fired boiler, a metal melting furnace, etc.",20151125,B01D39/16,TORAY FIBERS & TEXTILES RES LAB CHINA CO LTD
WO-2021090601-A1,Classifying device and image classifying system,"Provided is a classifying device with which it is possible to improve the performance of a classifier.　More specifically, in this classifying device 30, a classifier learning means 31a is configured so that, when the category of a defective image Pd of data D2 for evaluation that has been classified by a classification execution means 31b and the category of a defective image Pd previously classified by a user do not match, a classifier 32 is retrained on the basis of training data D11 in a state where a category selection image Pd3, in which the category classified by the classification execution means 31b is selected as the category of the defective image Pd for which the aforementioned categories do not match, is included in training data D1.",20210514,G06N20/00,TORAY ENG CO LTD
